description,name,date
"MailMaestro allows you to compose high-quality emails much more quickly, using your preferred language and tone, while ensuring secure encryption.
",MailMaestro,2023-04-25T13:52:50Z
"An AI-powered online video editor that offers AI auto subtitle generator, text-to-speech, and image background remover for you to speed up your video editing process.
",FlexClip,2023-04-25T09:30:31Z
"An all-in-one AI marketing platform. With a conversational UI, you can manage all your marketing needs through a single chat interface - powered by your brand’s own intelligence. Here are a few of the many cool things you can do with Contlo AI: Send Email and SMS campaigns via chat - Create customer segments in plain English. Predict winning creatives, channels, and much more by understanding your audience like never before.  Write SEO-optimized blogs and marketing copies - Create long-form content and post it directly on your CMS.
",Contlo,2023-04-25T08:53:10Z
"ProSEOAI is the perfect tool for marketers and content creators looking to improve their website's ranking on Google. With its user-friendly interface and efficient content generation capabilities, you'll be able to create high-quality articles in no time.
",ProSEOAI,2023-04-25T06:57:29Z
"Converting custom models into needed format (ckpt, safetensors)
",Converter,2023-04-26T01:41:21Z
"New extension to Automatic1111, with which you can set up a pose and afterwards use it in ControlNet or any other Pose-based generators
",3D Openpose Editor,2023-03-16T04:16:34Z
"Create online course in 2 minutes
",Course AI,2023-04-24T23:08:25Z
"Bark is a universal text-to-audio model. Bark can generate highly realistic, multilingual speech as well as other audio - including music, background noise and simple sound effects. 
",Bark,2023-04-25T06:27:29Z
"an AI assistant / chatbot / copilot for programming. It generates, changes, completes the code and answers questions.
",CodeAssist,2023-03-23T13:11:34Z
"A simple writing app that gives you superpowers. Boo uses AI to help you write faster than ever.
",Boo ai,2023-03-23T13:11:26Z
"Extension that helps to write formulas and work in Google Sheets more productively
",SheetAI App,2023-03-23T13:11:18Z
"PromeAI is a powerful generative AI website that enables users to transform their sketches into realistic images. With a customizable library of AIGC style models, it's the perfect tool for designers, architects, game developers, and anyone with a creative vision.
",PromeAI,2023-04-24T07:19:17Z
"NetusAI is a powerful AI-driven technology designed to help content creators generate unique, high-quality content up to 10x faster than traditional methods. With its one-click paraphrasing and summarizing features, users can efficiently produce content while preserving the original meaning, tone, and style of writing. This suite of tools caters to a wide range of creators, including digital marketers, content writers, SEO specialists, copywriters, and bloggers.

NetusAI offers an AI bypasser specifically designed to transform AI-generated content into human-like writing by adjusting NLP patterns, context, and grammar. Different AI bypasser versions are available, each tailored for various topics, ensuring a suitable solution for diverse content needs. Additionally, NetusAI features an AI detector with 99% ACCURACY in differentiating between human-written and AI-generated content, allowing users to move undetected like a ghost.
",NetusAI,2023-04-24T07:01:56Z
"Model LoRA for better contrast and darker images.

Quick tips:
Your start point (weight) is 0.65 → <nLoRA:0.65>
Add keyword dark theme to your prompt for best result
The best weight range is about 0.59 ≈ 0.72
Works better if you use keywords like: low key, rim lighting, high contrast, deep shadows, dimly lighted etc.
",SD Style LoRA,2023-04-24T06:20:57Z
"LogicLoop's AI SQL bot can help you analyze and query data 10x faster. Use plain language to describe what you're interested in querying and AI can automatically write, edit, debug, and optimize the SQL query for you in seconds. You can connect your own data to have it work directly on your data schema. 
",AI SQL,2023-04-23T17:14:01Z
"Self-ChatGPT is an online AI platform that enables AI to talk to itself, ask questions, and try to figure out answers and reply to itself in real-time. Experience the power of cutting-edge AI technology, all without any human interaction required. Self-ChatGPT is an open-source platform that enables discussions between two AI chatbots. The interactions/conversations are based on selected behavior to identify potential risks or threats that AI may pose to humanity, such as the possibility of two bots collaborating to develop a plan to harm humans. The purpose of Self-ChatGPT is to provide a tool for researchers to study the behavior of AI and identify any potential risks or threats it may pose to humanity. By analyzing the conversations between the chatbots, researchers can gain insight into the thought processes of AI and how it might react in different scenarios.
",Self-ChatGPT,2023-04-23T08:53:04Z
"Convert your audio/video files into blog posts
",VoicePen,2023-04-24T12:49:27Z
"LangChain is a framework for developing applications powered by language models. We believe that the most powerful and differentiated applications will not only call out to a language model via an API, but will also:
- _Be data-aware_: connect a language model to other sources of data
- _Be agentic_: allow a language model to interact with its environment
The LangChain framework is designed with the above principles in mind.
",Langchain,2023-04-16T23:59:04Z
"Animating drawings. Based on Detectron2 and AlphaPose
",Animated Drawings,2022-01-10T07:53:40Z
"A platform with several tools working with text, such as brainstorming buddy, research helper, interviews, etc.

",AI Toolbox for innovators,2023-04-20T07:14:43Z
"The platform offers real-time transcription and translation, agenda management, note-taking, and more to help teams stay on track and collaborate effectively during virtual meetings. With robust AI-powered features like sentiment analysis and speaker identification, Goodmeetings.ai is designed to improve meeting productivity and empower remote teams to work more efficiently.
",GoodMeetings,2023-04-20T07:14:43Z
"Automatic1111 allows users to create infinite zoom effect videos using stable diffusion outpainting method.
",Infinite Zoom,2023-04-20T07:14:43Z
"The world’s first generative trend forecasting service powered by large language models and the Nextatlas engine.
",Nextatlas,2023-04-13T10:52:26Z
"Compose, test, and evaluate one-shot prompts for the  OpenAI platform that predictably transform input to output.
",Promptmetheus,2023-04-11T10:25:01Z
"Web-based video editing software. Also has now available image generation and training models. Now with video2video and stylization v.2
",RunwayML,2022-07-12T13:49:19Z
"Stable Diffusion text-to-image model with an option to add initial image and animation. Disco Diffusion UI with Stable Diffusion model. Now supports v.2 SD model
",Deforum Stable Diffusion,2022-08-07T07:29:52Z
"Improving the video quality by upscaling and denoising frames
",Upscale video,2022-03-10T12:33:03Z
"Generating images and short videos in abstract art style
",Abstract NeuroArt,2022-06-30T05:19:38Z
"Generating avatars and character concepts from text
",Faces,2022-06-09T22:18:04Z
"Generate art by text prompt
",Disco Diffusion,2022-06-30T04:24:51Z
"Creating a 3D human model from a photo with full-body shot
",3D Human from Photo,2022-02-25T16:55:56Z
"Increasing detalization and denoising of an image
",Upscale image,2021-12-13T10:37:23Z
"Remove the background on any image
",Remove Background,2022-06-30T05:13:17Z
"Video transition effect between images. Creating multiple intermediate frames between two input images with large in-between motion.
",Morph,2022-02-16T16:54:05Z
"Changing the style of an image based on another image as a reference
",Fast Style Transfer,2021-06-22T14:03:20Z
"A HDRI-themed model to automatically generate HDRI and 360VR of any Indoor, Outdoor and Urban locations.
",World Builder,2023-01-19T13:31:14Z
"Train Stable Diffusion to make images and artworks of people, creatures or objects in Phygital+
",Selfie (DreamBooth),2022-11-07T12:13:17Z
"Translate your videos to 75+ languages with 1-Click
",Translate.Video,2023-04-21T03:59:15Z
"VirtuozyAI help you Unlock Your Musical Potential with tools: Instant Chord Progressions, Lyrics & Ideas, Clone Your Hit. Full Song generator, Song infos (BPM, Key, Song Meaning), A song cloner
",VirtuozyAI,2023-04-20T13:39:16Z
"Push the Boundaries of AI Art: Unlimited AI Art Generation for Business & Professionals
",Artaist unlimited,2023-04-19T11:16:10Z
"AI Lawyer is a legal platform that provides instant legal advice, document generation, document checking, document comparison, and legal research. It is fast, accessible, private, and cost-effective, making it an ideal solution for those seeking legal help. The platform is also designed to help lawyers focus on important tasks while automating daily routines.
",AI Lawyer,2023-04-19T10:34:34Z
"First Signs of AGI with an autonomous GPT4, Auto-GPT is revolutionizing the AI game! This open-source application, powered by GPT-4, lets AI ""agents"" operate autonomously to complete tasks for you. Say goodbye to manual work, and hello to a new era of AI
",AutoGPT,2023-04-19T06:27:25Z
"Build the future with Interactive 3D models of the real world.

Geopipe's AI starts with raw sensor data like photos, laser scans, and more. Our proprietary machine learning pipeline identifies every object in a city, then rapidly reconstructs rich digital twins at multiple levels of detail. We reconstruct regions ahead of time so you can download models instantly.

",Geopipe,2023-03-20T07:41:53Z
"A no-code, no-hardware, node-based tool for creating and transforming content with AI. Over 20 neural networks available in one click, all on a single canvas. P+ offers API and single-user subscriptions. Now available with 37 styles
",Phygital+,2021-06-22T14:03:20Z
"SERP AI is an ever growing, organized collection of all things AI.
Tools, datasets, news, models, projects, research, books, courses, community - you name it. 
",Serp AI,2023-04-15T00:46:44Z
"This is an AI bot that will analyze your long PRs and explain the changes made in simple words.

Helping get 80% of the understanding in 20% of time and stoping your tickets from getting blocked at the code review stage.
",Explain This PR,2023-04-14T23:50:56Z
"Stable Diffusion WebUI Hosted, Stable Diffusion WebUI Hosted
Built-in with dozens of popular models, such as Chilloutmix and Deliberate (continuously contributed by the community).
Comes with ControlNet and OpenPose Editor plugins built-in (more plugins to be released soon).
Can be used on both PCs and mobile devices, AIGC anywhere
",SD WebUI,2023-04-18T03:50:46Z
"Enable non-engineers to write efficient SQL queries without knowing SQL.
",SQL query builder,2023-04-18T03:44:21Z
"ThunderclapAI boosts your Twitter engagement and followers with auto-generated replies and viral tweet creation. Stand out from the crowd with powerful AI algorithms. Sign up now and take your Twitter game to the next level!
",ThunderclapAI,2023-04-17T21:51:15Z
"Prompt Engineering, Solve NLP Problems with LLM's & Easily generate different NLP Task prompts for popular generative models like GPT, PaLM, and more 
",Promptify,2023-04-17T10:37:01Z
"Optic AI or Not is a web service that helps users quickly and accurately determine whether an image has been generated by artificial intelligence (AI) or created by a human. If the image is AI-generated, our service identifies the AI model used (mid-journey, stable diffusion, or DALL-E).
",Optic,2023-04-14T18:17:18Z
"Single motion diffusion learns the internal motion motifs from a single motion sequence with arbitrary topology and synthesizes motions that are faithful to the core learned motifs of the input sequence.

",SinMDM,2023-04-14T18:13:53Z
"In-context visual learning, that allows to create more images based on given image
",SegGPT,2023-04-14T18:09:01Z
"No demo yet. A use case of our work - a mobile app sequentially learns new customized concepts. At a later time, the user can generate photos of prior learned concepts. The user should be able to generate photos with multiple concepts together, thus ruling out methods such as per-concept adapters or single-image conditioned diffusion. Furthermore, the concepts are fine-grained, and simply learning new tokens or words is not effective.
No demo yet
",Continual Diffusion,2023-04-14T18:06:29Z
"Fashion Image-to-Video Synthesis via Stable Diffusion
",DreamPose,2023-04-14T18:02:54Z
"Detect objects on images, and get textual description
",Segment Anything,2023-04-14T17:58:10Z
"An AI tool that automatically animates, lights and composes CG characters into a live-action scene

",Wonder Dynamics,2023-04-14T17:52:41Z
"AI Tools Community is a free-to-join community where we share and discuss AI for creators and entrepreneurs.
",AI Tools community,2023-04-14T17:47:57Z
"Coactive supercharges data-driven businesses. We bring structure to unstructured data and help analysts to make image and video data useful. Bringing unprecedented insights, ease of use, and blistering speeds, we can make machine learning your new superpower.
",Coactive,2023-04-14T17:41:01Z
"Soundframes it's a beta tool developed to bring more accessibility to image generation tools to people with chronic conditions, such as repetitive stress injuries (RSI), elderly patients, and other individuals and communities who should limit their use of keyboards. Create images from speech
",Soundframes,2023-04-14T06:41:18Z
"SID is like having your own Jarvis. It can find answers in your files for any question you have. Too busy to read a book/article or review a presentation? Just give it to SID and fire away your questions. It gets smarter the more files you add.
",SID Search,2023-04-13T16:01:42Z
"Powered by ChatGPT, Loopin brings some serious magic to your note-taking game! Record, transcribe, and summarize your meetings with just a few clicks! No more tedious note-taking! 🙌
Turn your meetings into workspaces where your whole team can collaborate and access talking points, notes, and next steps in one place.

",Loopin,2023-04-12T02:31:36Z
"IKiBlast is a powerful tool that can help you streamline your workflow, communicate more effectively, and unlock your creativity.   Its advanced features and multilingual support make it a must-have for anyone who wants to succeed in today's global digital economy.  
",IKiBlast,2023-04-13T12:22:30Z
"BlockSurvey is an AI-driven survey tool. A web 3 form and survey tool.No ads, no trackers. Protect your respondents' data and privacy. The only survey tool that keeps your data safe.
",BlockSurvey,2023-04-13T10:31:27Z
"Upload 10 pictures of yourself and get 200 AI-generated selfies. Also classic image editor available
",Lensa,2023-02-18T07:06:54Z
"Create, deploy and share custom AI models in less than 5 minutes.

No coding required.
",Invicta,2023-04-12T10:56:01Z
"Based file-reading assistant! Chat with any documents. Simply ask questions and get instant answers with cited sources!  ChatDOC can understand tables / paragraphs. You can also select a specified one, ask targeted questions, and get more accurate answers. Give it a try and embrace a better way of learning! 
",ChatDOC,2023-04-12T09:55:43Z
"TinderProfile.ai is a groundbreaking AI image generation service that revolutionizes online dating experiences by creating personalized, captivating profile photos for users. By analyzing users' uploaded selfies and photos, TinderProfile.ai generates a set of high-quality, professional-looking images that ensure a great first impression on dating platforms like Tinder and Bumble. TinderProfile.ai aims to help users save time, boost their confidence, and increase their chances of finding a compatible partner through more matches on dating apps. No demo yet
",TinderProfile,2023-04-11T21:00:09Z
"A SaaS, self-serve platform for Devs and DevOps that utilizes **Conversational AI** to make common DevOps functions more accessible to end-users who typically don't have the requisite expertise (or permissions) to access them. 
",Kubiya,2023-04-11T18:21:33Z
"Russian adaptation of ChatGPT. UI for talking with the bot
",Chad,2023-04-11T18:16:54Z
"This is a simple tool to help people who are new to artificial intellegince to get an idea or two for how to use it within their business or profession.
",AIforBiz,2023-04-11T17:24:15Z
"ChatGPT and AI-driven automation can revolutionize the way you work and communicate with your team. By bringing ChatGPT and AI workflows to your Slack, Microsoft Teams, Google Chat, or Discord workspace, you can simplify your daily routines, increase your team's productivity, and improve overall collaboration.
",DailyBot,2023-04-11T16:12:49Z
"AI assistant for gmail. Saves you time in your inbox by preparing replies and writing new emails for you. 
",Superflows,2023-04-11T12:10:00Z
"A web app for generating AI voices (text-to-speech aka TTS). Users can use the platform to synthesize emotive speech audio from text, by using built-in AI voices. They can also clone AI voices, breed new AI voices by mixing existing ones, or generate AI voices by simply prompting what voices they want to create.

The user interface is helpful to change the performance  by modifying speech rate, emotion, or by using the Advanced Editor for granular commanding on the intonation.
",Coqui,2023-04-11T09:26:04Z
"Turn text into meme generation using ChatGPT, a midjourney for memes
",MemeJourney,2023-04-11T08:21:00Z
"Translate.video helps in video translation, captioning, subtitle translation, dubbing, AI voice-over, recording, and transcript generation using AI to 75+ languages with just 1-click. Compared to any manual process, this is 100x faster.f
",Translate.Video,2023-04-11T06:50:02Z
"Virtual Mailbox that scans and summarizes all your physical mail with AI and pushes to your email (or slack), Daily.  

Thatch has three mail processing facilities (NY, CA, and TX). All your mail can be sent to our secure processing centers (PCI-Compliant) and scanned, OCRd and summarized and sent to your email inbox immediately. 
",Virtual Mailbox,2023-04-11T03:52:47Z
"AI Voice Detector, is a revolutionary AI tool that helps identify whether an audio is generated by an AI voice or a human voice. With the rise of AI voice generators, it has become increasingly important for organizations and individuals to protect themselves from fraudsters who can use these voices to steal millions of dollars making it a valuable tool for banks, call centers, podcast platforms, voiceover platforms, and other companies.
",AI voice detector,2023-04-10T21:44:38Z
"Automated scheduling, AI-assisted content creation, and advanced analytics to help you optimize your approach and elevate engagement on your social channels.
",Followr,2023-04-10T18:47:34Z
"Leverage the power of AI and automation to streamline workflows and take productivity to new heights. PixieBrix is fully customizable and works on any site, allowing users to personalize any web application. PixieBrix also offers quick-bar shortcuts and contextual sidebar information, and ready-to-use mods in its marketplace.
",PixieBrix,2023-04-11T13:01:36Z
"AI-powered regular expression generator. Automate data extraction task
",Regex.ai,2023-04-11T05:29:04Z
"A gradio web UI for running Large Language Models like LLaMA, llama.cpp, GPT-J, Pythia, OPT, and GALACTICA.
Its goal is to become the AUTOMATIC1111/stable-diffusion-webu[i](https://github.com/AUTOMATIC1111/stable-diffusion-webui) of text generation.
",Text Generation WebUI,2023-04-10T13:11:32Z
"Your Ultimate AI Writing Tool in Chrome Extension
🤖 Simply Click ⌥ /alt + A to use OpenAI GPT on any website. 
📍 Built-in prompt library - Launch prompt Library using slash key ""/"". 
💡 Fast summary - Simply select the copy and ⌥ /alt + A to use it.
👩‍💻 Chat with Arvin:  friendly chat with Arvin, just like a real human.
🙌  Save & Reuse Prompts: easily save and reuse frequently used prompts. 
",Arvin,2023-04-10T07:19:46Z
"Roketfy is an innovative and data-driven platform that provides smart tools and services to help Etsy sellers boost their sales.
",Roketfy,2023-04-10T06:41:26Z
"World's first AI Tutor trained on your own course and content, it is powered by ChatGPT. Teaches Python Interactive learning with dynamic quizzes at your own pace.
",AI Tutor,2023-04-10T06:26:29Z
"AI functions for Typescript. Use GPT-4 as a runtime for your projects, no need to have a LLM write code, just comment what you want the function to do and the let the magic happen.
",Magic,2023-04-09T23:18:52Z
"An AI-powered writing assistant that can help you create content for your WordPress.
",Handywriter,2023-04-09T14:16:46Z
"Free online AI-powered story generator that can write you a short story on any given topic
",AI Story Generator,2023-04-09T13:54:08Z
"chatGPT for DevOps that lives in Slack, Teams etc. Create and run workflows do deploy, manage infrastructure and all things cloud and DevOps right from Slack.
",Kubiya,2023-04-09T08:48:36Z
"Our app helps filmmakers formulate their best plots and characters, write their best scripts, draw their best storyboards, and soon generate actual video for their own real movies! Faster and better than anything on the planet. Hollywood Superpowers.
",CyberFlim,2023-04-09T06:16:34Z
"Webthat is an innovative review based website that provides up-to-date IT news on technology topics. Our team of experts curate content to bring you the most relevant, quality information and provide detailed analysis from different perspectives.
",Webthat,2023-04-09T00:06:10Z
"AIPRM is the Ultimate Time Saver for ChatGPT. Download our free Chrome extension and get aceess to 1-Click Prompts for SEO, Marketing, Copywriting, productivity, and more.

The AIPRM extension adds easy to use list of curated prompt templates for ChatGPT curated for you by a community of prompt engineering experts.
",AIPRM,2023-04-07T23:23:01Z
"ChatGPT for custom files, books, PDFs, websites, YouTube URLs with built in flashcard and quizlet feature to allow for ""Study Chat"" capability for students.
",Dropchat,2023-04-07T10:54:27Z
"A new AI mdoel from Meta AI that can ""cut out"" any object, in any image, with a single click. SAM is a promptable segmentation system with zero-shot generalization to unfamiliar objects and images, without the need for additional training. 
",SAM (Segment Anything Model),2023-04-09T16:38:42Z
"The first artificial intelligence tool that makes it easy to create texts and images for a variety of purposes: sites, blogs, social networks and online stores, with a few clicks
",AiWriteArt,2023-04-09T14:59:13Z
"Toolbuilder is the perfect platform for building and discovering AI web apps without coding. Toolbuilder enables users to create AI-driven web apps with a simple prompt. Easily create your own AI tools, explore unlimited AI tools of any kind. Toolbuilder simplifies the tool building process by automating the backend using AI. a
",Toolbuilder,2023-04-07T01:25:32Z
"Analyze, compare and recomment the best machine translation engine for a given text for all languages.
",MachineTranslation,2023-04-06T16:46:11Z
"A free way to search Replicate AI models. Search, filter, and sort models. View pricing info and popularity. Discover trending models. Find the right one for your AI project. Subscribe for a monthly update of new models.
",Replicate Library,2023-04-06T02:53:48Z
"You're very own personalised AI assistant. Personalise your assistant to your unique needs and get access to features ChatGPT is lacking such as weather, news, image generation and the ability to more easily save content - all on one site. 
",My-AI,2023-04-05T11:33:02Z
"Headline AI, is a simple low cost browser extension to summarise news articles, research papers, blog post and any other text content. With Headline AI, you can also ask what you want each summary to focus on. 
",Headline AI,2023-04-05T11:28:46Z
"Minerva is the best AI assistant for academia. Minerva devises and undertakes a literature review of over 200 million research papers alongside each response. No more made up references, Minerva takes in real research and factors these papers into responses. With Minerva, you ensure the latest research is not missed and vastly reduce the time required to conduct research. Minerva also leverages AcademicID's wider offering to enhance responses such as uncovering the most relevant academics to further your research. 
",Minerva,2023-04-05T11:18:17Z
"Very powerful and convenient audio to text conversion, with ability to summarize texts and give insights
",Sonix,2023-04-05T10:43:05Z
"Website to Chatbot powered by ChatGPT.  Heybot powered by GPT3 that Converts your website/blog, pdf, notion, and youtube channel into a chatbot in minutes
",HeyBot,2023-04-05T06:07:28Z
"One AI writing assistant that works across all apps & browsers. It can write, improve, reply, explain, summarize and translate. 
",Brew AI,2023-04-05T05:20:17Z
